id,vader_compound_new,vader_pos_new,vader_neg_new,vader_neu_new,finbert_bull_new,finbert_bear_new,finbert_neu_new,finbert_dir_new,hybrid_sentiment_new
5lf3gn,0.0,0.0,0.0,1.0,0.06702866,0.017945156,0.9150262,0.0490835,0.02454175055027008
5lm0db,0.9024,0.173,0.031,0.796,0.028975056,0.81161636,0.15940857,-0.7826413,0.059879354190826406
5lwvqs,0.8912,0.088,0.015,0.897,0.02254336,0.051163066,0.92629355,-0.028619707,0.4312901466846466
5lyn7b,0.3612,0.135,0.0,0.865,0.10472238,0.024561139,0.8707165,0.08016124,0.22068062183856965
5m0n38,-0.765,0.025,0.086,0.889,0.06202995,0.1006028,0.8373673,-0.038572848,-0.4017864239215851
5m5tdy,-0.7059,0.01,0.056,0.934,0.029314553,0.27436557,0.6963199,-0.24505103,-0.47547551317214964
5met4d,-0.6414,0.042,0.089,0.869,0.013468786,0.96722513,0.019306097,-0.95375633,-0.7975781661987305
5mnbsv,0.0,0.0,0.0,1.0,0.048270226,0.020360673,0.9313691,0.027909553,0.013954776339232922
5njdov,0.3182,0.069,0.0,0.931,0.02048467,0.033841893,0.9456734,-0.013357224,0.15242138802856206
5o0bcv,-0.9432,0.117,0.161,0.722,0.036755357,0.08275958,0.880485,-0.046004225,-0.49460211228430273
5osn42,0.9182,0.119,0.027,0.854,0.06997661,0.21693215,0.7130913,-0.14695553,0.3856222325921059
5pbpfu,-0.8555,0.033,0.163,0.804,0.011374803,0.937378,0.051247224,-0.92600316,-0.8907515790462495
5pilut,0.5106,0.398,0.0,0.602,0.010999348,0.88384014,0.1051605,-0.8728408,-0.1811204108715057
5pwooc,0.7381,0.093,0.025,0.882,0.1197287,0.017141711,0.8631297,0.102586985,0.4203434923171997
5rlzte,0.6476,0.196,0.101,0.703,0.034934577,0.16135862,0.8037068,-0.12642404,0.26058797781467435
5saxr9,0.0,0.0,0.0,1.0,0.05165638,0.022907268,0.9254363,0.028749112,0.01437455601990223
5sqv21,0.0,0.0,0.0,1.0,0.0727092,0.052084558,0.8752063,0.020624645,0.010312322527170181
5srzif,-0.9067,0.072,0.095,0.833,0.032831743,0.17385146,0.7933168,-0.14101972,-0.5238598584294318
5ssrb6,0.0,0.0,0.0,1.0,0.02879844,0.045952406,0.92524916,-0.017153965,-0.008576982654631138
5tb192,0.9802,0.205,0.021,0.774,0.053992182,0.017748516,0.9282593,0.036243666,0.5082218329817056
5tca1a,0.9472,0.085,0.037,0.878,0.054746278,0.032178856,0.9130749,0.022567421,0.48488371059894564
5tehwy,-0.7053,0.078,0.075,0.847,0.052039105,0.08154186,0.866419,-0.029502753,-0.36740137658417227
5tge54,0.6249,0.231,0.0,0.769,0.07914074,0.01488116,0.9059781,0.064259574,0.34457978690862656
5tjisd,0.8868,0.086,0.015,0.899,0.020469261,0.05079094,0.9287399,-0.030321678,0.42823916092664005
5trv3s,-0.8066,0.0,0.342,0.658,0.013177998,0.9440557,0.04276634,-0.9308777,-0.8687388427734375
5v4hgi,0.7777,0.14,0.036,0.825,0.13803934,0.014266763,0.8476939,0.12377258,0.45073628822565076
5vo2ov,0.8868,0.086,0.015,0.899,0.020467907,0.05097973,0.92855245,-0.030511823,0.4281440887242556
5vq1w4,-0.5574,0.0,0.419,0.581,0.037664928,0.31423587,0.6480992,-0.27657095,-0.41698547298908234
5vr8xg,-0.2023,0.062,0.088,0.85,0.025925597,0.10600604,0.86806834,-0.08008044,-0.14119022106528284
5vt6at,0.0,0.0,0.0,1.0,0.03922627,0.04932906,0.9114447,-0.01010279,-0.005051394924521446
5vtj42,-0.4215,0.0,0.135,0.865,0.23485085,0.16780356,0.5973456,0.0670473,-0.17722635102272033
5w5457,-0.6036,0.0,0.304,0.696,0.037755206,0.05154905,0.91069573,-0.013793845,-0.308696922364831
5x0xrg,0.5423,0.052,0.0,0.948,0.031764526,0.09264532,0.87559015,-0.06088079,0.24070960430204869
